n_users,max_time,sequence_lenght,n_sequences,sliding_split,remove_outliers,normalize,train_acc,train_TP,train_TN,train_FP,train_FN,train_FAR,train_FRR,train_F1,test_acc,test_TP,test_TN,test_FP,test_FN,test_FAR,test_FRR,test_F1
10,0.125,4,10,False,False,False,0.8092741115414996,11073.9,9512.4,3370.8,1809.3,0.24580810651696067,0.13564367040004005,0.8214369651117949,0.6574507658327716,4951.0,5005.9,2664.5,2719.4,0.31700225987430164,0.368096208460155,0.6479718348791444
10,0.125,6,10,False,False,False,0.8258814983335648,7540.0,6636.0,1905.4,1001.4,0.22753785541936616,0.12069914791350386,0.8370125287411622,0.6850273024033748,3142.6,3260.6,1432.3,1550.3,0.2945283300448693,0.33541706514838127,0.6806901386084887
10,0.125,8,10,False,False,False,0.8366775668723593,5422.6,4833.0,1152.0,562.4,0.22037329515462223,0.10627157110065907,0.8480721374746276,0.7058511457237695,2131.8,2238.1,821.0,927.3,0.27571816756818746,0.3125795409842736,0.7022644707438553
10,0.125,10,10,False,False,False,0.8469584025548469,4070.0,3712.5,685.4,327.9,0.20607716249318955,0.1000060323971165,0.8568602161200746,0.7177498916671367,1520.1,1622.7,485.0,587.6,0.2541217530887267,0.3103784635769999,0.7089652678988698
10,0.125,12,10,False,False,False,0.8541881607460573,3190.2,2950.7,430.5,191.0,0.1979209037343971,0.09370277477348858,0.8635014572077045,0.7257532721924328,1152.6,1201.7,314.7,363.8,0.24190355402145447,0.30658990159368005,0.7122037047846026
10,0.125,14,10,False,False,False,0.8601715230714093,2622.5,2448.3,286.0,111.8,0.18958432587734592,0.0900726279798354,0.8686323839452333,0.7166008160467207,910.3,927.8,233.0,250.5,0.23694437906345905,0.3298539888430995,0.6936161605142915
10,0.125,16,10,False,False,False,0.8583603090630841,2247.5,2101.1,211.5,65.1,0.20192565558806233,0.08135372628576923,0.8687434325587828,0.7124313195861514,759.5,746.1,189.3,175.9,0.23113780514150611,0.3439995556861911,0.6802439723777647
10,0.125,18,10,False,False,False,0.862472490879784,1995.5,1867.5,171.4,43.4,0.20278912745181682,0.07226589078861548,0.8735210186310207,0.6917364002930677,662.6,608.8,180.7,126.9,0.2581876624973839,0.3583395369164807,0.6572144007532883
10,0.125,20,10,False,False,False,0.8595339570819339,1802.0,1690.9,143.0,31.9,0.20119219237721375,0.07973989345891827,0.8694452265271269,0.6845460828368084,589.9,522.3,171.2,103.6,0.23233996267751222,0.3985678716488713,0.6252205628849283
10,0.125,22,10,False,False,False,0.8691311144677233,1649.6,1560.9,111.9,23.2,0.17951900252836786,0.0822187685361854,0.8766554131566549,0.657209728847189,534.7,451.1,170.6,87.0,0.2590248273751802,0.42655571493044186,0.5925388156038154
9,0.125,24,10,False,False,False,0.88196908968614,1703.2222222222222,1605.3333333333333,117.55555555555556,19.666666666666668,0.16776200140086528,0.06829981922685466,0.8887115597654667,0.6612171900429176,550.4444444444445,443.3333333333333,184.55555555555554,77.44444444444444,0.26812462040545615,0.4094409995087088,0.5985398679263735
9,0.125,26,10,False,False,False,0.8735350677580969,1591.5555555555557,1509.2222222222222,99.88888888888889,17.555555555555557,0.15653297695786808,0.09639688752593817,0.8771826102386797,0.6457786481820816,510.0,406.3333333333333,173.22222222222223,69.55555555555556,0.2382969446946802,0.4701457589411565,0.5429157186239149
9,0.125,28,10,False,False,False,0.8594978561750957,1489.3333333333333,1405.0,98.33333333333333,14.0,0.19533657299501073,0.08566771465479815,0.868176438335683,0.6512182099492256,477.8888888888889,367.1111111111111,172.44444444444446,61.666666666666664,0.2532297211513831,0.44433385895016553,0.5533984673429818
9,0.125,30,10,False,False,False,0.8255517547186851,1392.7777777777778,1319.888888888889,88.0,15.11111111111111,0.15962230832158622,0.18927418224104364,0.7762978150849856,0.6235770409240694,445.44444444444446,344.22222222222223,158.11111111111111,56.888888888888886,0.20731578045066867,0.5455301377011925,0.4543285778003503
7,0.125,32,10,False,False,False,0.8957176951769111,1671.857142857143,1577.2857142857142,113.42857142857143,18.857142857142858,0.15833610294833583,0.050228506697841964,0.9036451732176187,0.6656727653915546,531.5714285714286,402.85714285714283,186.28571428571428,57.57142857142857,0.27672224749990876,0.3919322217169819,0.5857284271357361
7,0.125,34,10,False,False,False,0.9126916344833226,1565.7142857142858,1468.7142857142858,114.85714285714286,17.857142857142858,0.11937935311777273,0.05523737791558211,0.9164987542285115,0.6534662155133644,496.2857142857143,368.42857142857144,179.28571428571428,51.42857142857143,0.2702470680426398,0.42282050093063134,0.5711230343967428
7,0.125,36,10,False,False,False,0.8424995031490521,1466.7142857142858,1388.5714285714287,98.28571428571429,20.142857142857142,0.1022943503852723,0.21270664331662364,0.77192335265865,0.6535509251290613,457.57142857142856,353.14285714285717,156.85714285714286,52.42857142857143,0.20738027162788564,0.48551787811399166,0.5014340783489611
6,0.125,38,10,False,False,False,0.9067680112824587,1604.6666666666667,1498.5,120.66666666666667,14.5,0.15921163990466286,0.027252337530420032,0.9143070756880456,0.7224246273756783,505.0,361.0,189.16666666666666,45.166666666666664,0.2574919038974865,0.2976588413511568,0.6607095115334441
10,0.25,4,10,False,False,False,0.8169702304191372,9887.3,8472.1,2944.4,1529.2,0.2393313465089312,0.1267281926527946,0.8289344233599174,0.6452595525133022,4515.3,4627.0,2543.3,2655.0,0.32189166777018935,0.3875892272032062,0.6302229433496915
